AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
7656,16652,1636,27.21,321,-1632,10292
12408,14104,11304,27.12,6009,752,-2605
6756,8048,1360,27.31,-5278,-9635,3253
11100,14832,5356,27.12,-4457,-5614,-9288
1508,15264,3772,27.21,2479,4183,-9475
7516,5868,4688,27.26,1074,12127,27097
27204,916,9900,27.26,13131,-11101,32767
11260,-6920,10284,27.12,-19229,-9996,-23362
15840,-5120,5280,27.21,10576,15163,-1196
16916,-4448,4944,27.21,-5507,13696,-1816
13208,-4488,1940,27.26,178,3067,-7587
23888,-6176,6232,27.17,-8831,-7548,8230
15216,-5684,12520,27.31,-32768,-11715,-30952
11008,632,10236,27.21,-10402,1474,13153
27448,7992,6184,27.17,-17405,22567,13367
20472,4496,388,27.12,-6522,18462,-5447
17476,-17784,4124,27.26,15065,1921,-9343
14960,-6328,10556,27.21,-7778,-9326,6535
10696,4352,9448,27.21,-12656,-2386,-4062
22792,608,3428,27.21,9077,856,3066
16260,-4524,4604,27.21,-13629,-6636,4371
14212,-7640,4808,27.21,11911,9108,-2479
14936,-4872,3168,27.21,-9361,5819,-3625
16024,-2624,3300,27.26,-7993,3089,-4386
17532,-3312,4084,27.26,-2557,-6738,-2241
14868,-6512,3608,27.26,-4123,-2669,-1578
23860,-10252,-2264,27.26,9840,-11026,11611
20912,204,-4464,27.26,-27072,-25189,-15554
-1892,-3892,6236,27.21,-11518,56,12196
32767,-2652,-2976,27.26,11230,19202,3639
27276,-16752,580,27.17,32767,8505,-22321
14568,-1720,8932,27.21,-27652,-18702,1245
15676,2120,6520,27.26,11136,-3530,2176
21404,2008,8440,27.21,-14717,-2127,6823
12444,-2016,4084,27.17,14155,3946,-594
16660,-6344,1400,27.21,5550,2999,2195
14832,-3940,3128,27.26,-3181,-498,1959
13788,-3120,3704,27.21,-3223,-750,-2488
19644,-5232,1344,27.17,2427,4763,-144
18688,-1888,3828,27.17,-18338,-2485,5219
15748,3004,4088,27.26,1309,-5567,-3144
17032,676,5640,27.26,6115,4667,7456
20200,-5144,1176,27.21,15314,8351,-2907
15892,-8488,2604,27.26,-21526,-17501,11484
14064,-3660,4648,27.21,22161,711,-2942
16468,-7056,2768,27.12,23808,11179,-869
23408,-7768,-1256,27.21,-7605,-4334,13246
22224,-808,3028,27.21,-12192,-18982,4282
18992,-1452,1868,27.21,173,-12187,-1634
17896,1612,4300,27.26,18952,8360,-14939
22056,-5280,6484,27.21,32767,2289,-9432
13160,-14828,5752,27.17,2296,-3476,23172
19384,-9652,6184,27.17,-16105,7590,10624
16300,-3364,7400,27.26,18217,24102,-7320
17456,-8888,2876,27.26,18945,4142,6830
17476,-4544,5940,27.21,-4910,-8301,12813
30052,-12164,5936,27.21,-10499,-26987,18777
15292,-8664,5732,27.26,-6865,-27422,15965
1436,4880,7060,27.31,-5749,-3661,-4682
32228,-12136,20172,27.21,32767,30774,-27224
30672,-32768,15600,27.21,32767,-12883,-28927
18320,-4156,18856,27.26,-32768,-20797,29832
12340,-668,4264,27.12,-1795,-3593,-10636
18184,-3396,4828,27.31,-7231,6192,-3832
15560,-5540,6476,27.26,-10344,-1747,-7237
18480,-1896,11140,27.26,-32768,10467,3964
17616,4128,8948,27.21,-32768,-8371,-3725
14440,2660,5156,27.31,9158,19311,3242
25300,-2148,700,27.26,-7308,17303,-11605
17532,-8416,4084,27.21,-1793,-5840,453
13076,-4172,5836,27.26,-1975,-10035,-1058
21916,-21348,380,27.26,14878,10161,-13191
25124,-4848,8136,27.21,-32768,-1818,8628
15852,1240,5980,27.17,3200,-4675,4287
12608,-6536,-924,27.17,2141,5529,-8319
14076,-3976,-2252,27.31,11175,2989,-14987
13896,-1096,3128,27.21,-36,2240,1086
16408,-608,1800,27.21,-8674,-1607,3392
28832,-4292,5984,27.21,-21264,5838,-8416
32767,-19944,-3296,27.35,-9236,-8416,5756
8804,5564,11952,27.26,-16650,-9974,-514
2784,-6392,10996,27.26,-3296,2556,3111
-10884,-11816,-18248,27.26,-634,5783,32767
21124,1696,4228,27.26,-3365,-2357,-742
21436,7552,3772,27.31,-7099,-3312,-17295
10016,17776,2168,27.31,-4976,-155,-18926
13856,9636,-2592,27.21,-2069,1607,-4054
18536,13012,-1576,27.21,3818,-19252,7894
13396,9860,-7640,27.21,5873,-23254,12572
8424,1864,-15468,27.31,-2952,-9528,19821
7976,3092,-10540,27.31,-4715,-5818,8197
6760,4216,-9444,27.31,-4702,438,4159
8468,3916,-12632,27.26,1980,4882,5717
18584,-9560,-22968,27.31,11655,-3636,-3832
5728,-4720,-8564,27.26,8536,-4596,858
13004,-1900,-12404,27.26,-10666,242,6333
3700,-988,-10832,27.26,3738,1797,-16399
13344,-2452,-13864,27.21,-11827,1271,2250
7680,-2164,-14840,27.26,1328,-2721,6234
2116,-2768,-12840,27.21,4124,1717,4387
7008,-4276,-5680,27.31,4996,4542,-5757
11088,-3352,-3932,27.26,5955,12182,-7783
16948,-9448,1444,27.35,14983,19102,3171
18244,-8336,9100,27.31,12280,12569,5610
12520,-5712,12260,27.35,5904,-4210,-1772
19288,-1408,11036,27.26,5035,-10440,-9554
20496,1076,7524,27.31,-8399,-7493,-388
24040,-15804,4364,27.31,-620,-757,24396
18976,-4608,11536,27.17,23278,-15809,8338
10848,-8964,4460,27.26,11808,-4680,653
16316,-9136,5236,27.31,-31009,-1600,16761
16452,-3636,10356,27.35,-224,-16443,-21937
17916,-6084,2768,27.31,-16264,-15288,13380
15376,152,3148,27.35,-10640,1099,5610
12764,-5284,6020,27.26,32767,32767,-2357
12316,-14124,5828,27.26,2482,-4718,617
8860,-7232,4816,27.26,5292,-1831,2612
12476,-4336,5372,27.31,6679,-2500,5100
9204,-3476,10980,27.31,-20691,-2100,-5983
16332,-4868,4840,27.26,-8784,5824,-8615
27296,3268,-556,27.21,-11224,2821,-18404
22532,-7716,10296,27.31,16337,12574,-8677
20444,-12548,-7424,27.31,-21743,2723,-4055
14848,2312,7708,27.17,-7363,-3211,5346
18076,-116,6372,27.31,-8554,6137,-6472
18872,4460,10180,27.31,-7588,-1925,-13441
18844,7656,6884,27.26,-4159,-6882,-1303
13640,1476,6240,27.31,2515,-6370,262
18172,5852,-3156,27.21,10663,-26134,7880
13716,3768,-7984,27.26,1904,-26357,2571
3328,-732,-11064,27.31,3242,-13625,32767
5808,1920,-14024,27.31,-4829,-8250,14342
708,1024,-11232,27.40,706,3357,4478
14444,10132,-17784,27.40,-543,5573,5673
10176,-752,-16844,27.21,-1822,5352,-2109
8232,1592,-13304,27.26,-1200,2575,-1875
12604,4044,-14264,27.26,1906,-7116,3082
1900,-524,-12860,27.21,8631,-1713,72
2992,-1836,-14216,27.21,6368,-2991,-6705
3136,-3972,-5108,27.35,7171,9363,-13818
12800,-5348,-1048,27.31,12499,16119,-5485
23608,-10536,2740,27.26,12476,16492,-796
15760,-10028,5084,27.26,287,11894,-180
14624,-8748,6312,27.35,763,3788,7426
16040,-7188,7460,27.35,-7157,-19,2005
15728,-7296,6260,27.31,1436,-6054,-5711
16840,-16828,5236,27.31,-4326,-7317,-10146
20132,-13532,5244,27.31,18379,-12882,9463
12996,-4132,8952,27.26,23598,-8206,-12155
